Indicator;Country;Date;value
Cases;Guinea;29/08/2014;648
Deaths;Guinea;29/08/2014;430
Cases;Liberia;29/08/2014;1378
Deaths;Liberia;29/08/2014;694
Cases;Nigeria;29/08/2014;19
Deaths;Nigeria;29/08/2014;7
Cases;Sierra Leone;29/08/2014;1026
Deaths;Sierra Leone;29/08/2014;422
Cases;Guinea;5/09/2014;812
Deaths;Guinea;5/09/2014;517
Cases;Liberia;5/09/2014;1871
Deaths;Liberia;5/09/2014;1089
Cases;Nigeria;5/09/2014;22
Deaths;Nigeria;5/09/2014;8
Cases;Senegal;5/09/2014;1
Deaths;Senegal;5/09/2014;0
Cases;Sierra Leone;5/09/2014;1261
Deaths;Sierra Leone;5/09/2014;491
Cases;Guinea;8/09/2014;862
Deaths;Guinea;8/09/2014;555
Cases;Liberia;8/09/2014;2046
Deaths;Liberia;8/09/2014;1224
Cases;Nigeria;8/09/2014;21
Deaths;Nigeria;8/09/2014;8
Cases;Senegal;8/09/2014;3
Deaths;Senegal;8/09/2014;0
Cases;Sierra Leone;8/09/2014;1361
Deaths;Sierra Leone;8/09/2014;509
Cases;Guinea;12/09/2014;861
Deaths;Guinea;12/09/2014;557
Cases;Liberia;12/09/2014;2081
Deaths;Liberia;12/09/2014;1137
Cases;Nigeria;12/09/2014;21
Deaths;Nigeria;12/09/2014;8
Cases;Senegal;12/09/2014;3
Deaths;Senegal;12/09/2014;0
Cases;Sierra Leone;12/09/2014;1424
Deaths;Sierra Leone;12/09/2014;524
Cases;Guinea;16/09/2014;936
Deaths;Guinea;16/09/2014;595
Cases;Liberia;16/09/2014;2407
Deaths;Liberia;16/09/2014;1296
Cases;Nigeria;16/09/2014;21
Deaths;Nigeria;16/09/2014;8
Cases;Senegal;16/09/2014;1
Deaths;Senegal;16/09/2014;0
Cases;Sierra Leone;16/09/2014;1620
Deaths;Sierra Leone;16/09/2014;562
Cases;Guinea;18/09/2014;942
Deaths;Guinea;18/09/2014;601
Cases;Liberia;18/09/2014;2710
Deaths;Liberia;18/09/2014;1459
Cases;Nigeria;18/09/2014;21
Deaths;Nigeria;18/09/2014;8
Cases;Senegal;18/09/2014;1
Deaths;Senegal;18/09/2014;0
Cases;Sierra Leone;18/09/2014;1673
Deaths;Sierra Leone;18/09/2014;562
Cases;Guinea;22/09/2014;1008
Deaths;Guinea;22/09/2014;632
Cases;Liberia;22/09/2014;3022
Deaths;Liberia;22/09/2014;1578
Cases;Nigeria;22/09/2014;20
Deaths;Nigeria;22/09/2014;8
Cases;Senegal;22/09/2014;1
Deaths;Senegal;22/09/2014;0
Cases;Sierra Leone;22/09/2014;1813
Deaths;Sierra Leone;22/09/2014;593
Cases;Guinea;24/09/2014;1022
Deaths;Guinea;24/09/2014;635
Cases;Liberia;24/09/2014;3280
Deaths;Liberia;24/09/2014;1677
Cases;Nigeria;24/09/2014;20
Deaths;Nigeria;24/09/2014;8
Cases;Senegal;24/09/2014;1
Deaths;Senegal;24/09/2014;0
Cases;Sierra Leone;24/09/2014;1940
Deaths;Sierra Leone;24/09/2014;597
Cases;Guinea;26/09/2014;1074
Deaths;Guinea;26/09/2014;648
Cases;Liberia;26/09/2014;3458
Deaths;Liberia;26/09/2014;1830
Cases;Nigeria;26/09/2014;20
Deaths;Nigeria;26/09/2014;8
Cases;Senegal;26/09/2014;1
Deaths;Senegal;26/09/2014;0
Cases;Sierra Leone;26/09/2014;2021
Deaths;Sierra Leone;26/09/2014;605
Cases;Guinea;1/10/2014;1157
Deaths;Guinea;1/10/2014;710
Cases;Liberia;1/10/2014;3696
Deaths;Liberia;1/10/2014;1998
Cases;Nigeria;1/10/2014;20
Deaths;Nigeria;1/10/2014;8
Cases;Senegal;1/10/2014;1
Deaths;Senegal;1/10/2014;0
Cases;Sierra Leone;1/10/2014;2304
Deaths;Sierra Leone;1/10/2014;622
Cases;Guinea;3/10/2014;1199
Deaths;Guinea;3/10/2014;739
Cases;Liberia;3/10/2014;3834
Deaths;Liberia;3/10/2014;2069
Cases;Nigeria;3/10/2014;20
Deaths;Nigeria;3/10/2014;8
Cases;Senegal;3/10/2014;1
Deaths;Senegal;3/10/2014;0
Cases;Sierra Leone;3/10/2014;2437
Deaths;Sierra Leone;3/10/2014;623
Cases;United States of America;3/10/2014;1
Deaths;United States of America;3/10/2014;0
Cases;Guinea;8/10/2014;1298
Deaths;Guinea;8/10/2014;768
Cases;Liberia;8/10/2014;3924
Deaths;Liberia;8/10/2014;2210
Cases;Nigeria;8/10/2014;20
Deaths;Nigeria;8/10/2014;8
Cases;Senegal;8/10/2014;1
Deaths;Senegal;8/10/2014;0
Cases;Sierra Leone;8/10/2014;2789
Deaths;Sierra Leone;8/10/2014;879
Cases;United States of America;8/10/2014;1
Deaths;United States of America;8/10/2014;0
Cases;Guinea;10/10/2014;1350
Deaths;Guinea;10/10/2014;778
Cases;Liberia;10/10/2014;4076
Deaths;Liberia;10/10/2014;2316
Cases;Nigeria;10/10/2014;20
Deaths;Nigeria;10/10/2014;8
Cases;Senegal;10/10/2014;1
Deaths;Senegal;10/10/2014;0
Cases;Sierra Leone;10/10/2014;2950
Deaths;Sierra Leone;10/10/2014;930
Cases;Spain;10/10/2014;1
Deaths;Spain;10/10/2014;0
Cases;United States of America;10/10/2014;1
Deaths;United States of America;10/10/2014;0
Cases;Guinea;15/10/2014;1472
Deaths;Guinea;15/10/2014;843
Cases;Liberia;15/10/2014;4249
Deaths;Liberia;15/10/2014;2458
Cases;Nigeria;15/10/2014;20
Deaths;Nigeria;15/10/2014;8
Cases;Senegal;15/10/2014;1
Deaths;Senegal;15/10/2014;0
Cases;Sierra Leone;15/10/2014;3252
Deaths;Sierra Leone;15/10/2014;1183
Cases;Spain;15/10/2014;1
Deaths;Spain;15/10/2014;0
Cases;United States of America;15/10/2014;2
Deaths;United States of America;15/10/2014;1
Cases;Guinea;17/10/2014;1519
Deaths;Guinea;17/10/2014;862
Cases;Liberia;17/10/2014;4262
Deaths;Liberia;17/10/2014;2484
Cases;Nigeria;17/10/2014;20
Deaths;Nigeria;17/10/2014;8
Cases;Senegal;17/10/2014;1
Deaths;Senegal;17/10/2014;0
Cases;Sierra Leone;17/10/2014;3410
Deaths;Sierra Leone;17/10/2014;1200
Cases;Spain;17/10/2014;1
Deaths;Spain;17/10/2014;0
Cases;United States of America;17/10/2014;3
Deaths;United States of America;17/10/2014;1
Cases;Guinea;22/10/2014;1540
Deaths;Guinea;22/10/2014;904
Cases;Liberia;22/10/2014;4665
Deaths;Liberia;22/10/2014;2705
Cases;Nigeria;22/10/2014;20
Deaths;Nigeria;22/10/2014;8
Cases;Senegal;22/10/2014;1
Deaths;Senegal;22/10/2014;0
Cases;Sierra Leone;22/10/2014;3706
Deaths;Sierra Leone;22/10/2014;1259
Cases;Spain;22/10/2014;1
Deaths;Spain;22/10/2014;0
Cases;United States of America;22/10/2014;3
Deaths;United States of America;22/10/2014;1
Cases;Guinea;25/10/2014;1553
Deaths;Guinea;25/10/2014;926
Cases;Liberia;25/10/2014;4665
Deaths;Liberia;25/10/2014;2705
Cases;Mali;25/10/2014;1
Deaths;Mali;25/10/2014;1
Cases;Nigeria;25/10/2014;20
Deaths;Nigeria;25/10/2014;8
Cases;Senegal;25/10/2014;1
Deaths;Senegal;25/10/2014;0
Cases;Sierra Leone;25/10/2014;3896
Deaths;Sierra Leone;25/10/2014;1281
Cases;Spain;25/10/2014;1
Deaths;Spain;25/10/2014;0
Cases;United States of America;25/10/2014;4
Deaths;United States of America;25/10/2014;1
Cases;Guinea;29/10/2014;1906
Deaths;Guinea;29/10/2014;997
Cases;Liberia;29/10/2014;6535
Deaths;Liberia;29/10/2014;2413
Cases;Mali;29/10/2014;1
Deaths;Mali;29/10/2014;1
Cases;Nigeria;29/10/2014;20
Deaths;Nigeria;29/10/2014;8
Cases;Senegal;29/10/2014;1
Deaths;Senegal;29/10/2014;0
Cases;Sierra Leone;29/10/2014;5235
Deaths;Sierra Leone;29/10/2014;1500
Cases;Spain;29/10/2014;1
Deaths;Spain;29/10/2014;0
Cases;United States of America;29/10/2014;4
Deaths;United States of America;29/10/2014;1
Cases;Guinea;31/10/2014;1667
Deaths;Guinea;31/10/2014;1018
Cases;Liberia;31/10/2014;6535
Deaths;Liberia;31/10/2014;2413
Cases;Mali;31/10/2014;1
Deaths;Mali;31/10/2014;1
Cases;Nigeria;31/10/2014;20
Deaths;Nigeria;31/10/2014;8
Cases;Senegal;31/10/2014;1
Deaths;Senegal;31/10/2014;0
Cases;Sierra Leone;31/10/2014;5338
Deaths;Sierra Leone;31/10/2014;1510
Cases;Spain;31/10/2014;1
Deaths;Spain;31/10/2014;0
Cases;United States of America;31/10/2014;4
Deaths;United States of America;31/10/2014;1
Cases;Guinea;5/11/2014;1731
Deaths;Guinea;5/11/2014;1041
Cases;Liberia;5/11/2014;6525
Deaths;Liberia;5/11/2014;2697
Cases;Mali;5/11/2014;1
Deaths;Mali;5/11/2014;1
Cases;Nigeria;5/11/2014;20
Deaths;Nigeria;5/11/2014;8
Cases;Senegal;5/11/2014;1
Cases;Sierra Leone;5/11/2014;4759
Deaths;Sierra Leone;5/11/2014;1070
Cases;Spain;5/11/2014;1
Deaths;Spain;5/11/2014;0
Cases;United States of America;5/11/2014;4
Deaths;United States of America;5/11/2014;1
Deaths;Senegal;5/11/2014;0
Cases;Guinea;7/11/2014;1760
Deaths;Guinea;7/11/2014;1054
Cases;Liberia;7/11/2014;6619
Deaths;Liberia;7/11/2014;2766
Cases;Mali;7/11/2014;1
Deaths;Mali;7/11/2014;1
Cases;Nigeria;7/11/2014;20
Deaths;Nigeria;7/11/2014;8
Cases;Sierra Leone;7/11/2014;4862
Deaths;Sierra Leone;7/11/2014;1130
Cases;Spain;7/11/2014;1
Deaths;Spain;7/11/2014;0
Cases;United States of America;7/11/2014;4
Deaths;United States of America;7/11/2014;1
Cases;Senegal;7/11/2014;1
Deaths;Senegal;7/11/2014;0
Cases;Guinea;12/11/2014;1878
Deaths;Guinea;12/11/2014;1142
Cases;Liberia;12/11/2014;6822
Deaths;Liberia;12/11/2014;2836
Cases;Mali;12/11/2014;4
Deaths;Mali;12/11/2014;4
Cases;Nigeria;12/11/2014;20
Deaths;Nigeria;12/11/2014;8
Cases;Sierra Leone;12/11/2014;5368
Deaths;Sierra Leone;12/11/2014;1169
Cases;Spain;12/11/2014;1
Deaths;Spain;12/11/2014;0
Cases;United States of America;12/11/2014;4
Deaths;United States of America;12/11/2014;1
Cases;Senegal;12/11/2014;1
Deaths;Senegal;12/11/2014;0
Cases;Guinea;14/11/2014;1919
Deaths;Guinea;14/11/2014;1166
Cases;Liberia;14/11/2014;6878
Deaths;Liberia;14/11/2014;2812
Cases;Mali;14/11/2014;4
Deaths;Mali;14/11/2014;3
Cases;Nigeria;14/11/2014;20
Deaths;Nigeria;14/11/2014;8
Cases;Sierra Leone;14/11/2014;5586
Deaths;Sierra Leone;14/11/2014;1187
Cases;Spain;14/11/2014;1
Deaths;Spain;14/11/2014;0
Cases;United States of America;14/11/2014;4
Deaths;United States of America;14/11/2014;1
Cases;Senegal;14/11/2014;1
Deaths;Senegal;14/11/2014;0
Cases;Guinea;19/11/2014;1971
Deaths;Guinea;19/11/2014;1192
Cases;Liberia;19/11/2014;7069
Deaths;Liberia;19/11/2014;2964
Cases;Mali;19/11/2014;6
Deaths;Mali;19/11/2014;5
Cases;Nigeria;19/11/2014;20
Deaths;Nigeria;19/11/2014;8
Cases;Sierra Leone;19/11/2014;6073
Deaths;Sierra Leone;19/11/2014;1250
Cases;Spain;19/11/2014;1
Deaths;Spain;19/11/2014;0
Cases;United States of America;19/11/2014;4
Deaths;United States of America;19/11/2014;1
Cases;Senegal;19/11/2014;1
Deaths;Senegal;19/11/2014;0
Cases;Guinea;21/11/2014;2047
Deaths;Guinea;21/11/2014;1214
Cases;Liberia;21/11/2014;7082
Deaths;Liberia;21/11/2014;2963
Cases;Mali;21/11/2014;6
Deaths;Mali;21/11/2014;6
Cases;Nigeria;21/11/2014;20
Deaths;Nigeria;21/11/2014;8
Cases;Sierra Leone;21/11/2014;6190
Deaths;Sierra Leone;21/11/2014;1267
Cases;Spain;21/11/2014;1
Deaths;Spain;21/11/2014;0
Cases;United States of America;21/11/2014;4
Deaths;United States of America;21/11/2014;1
Cases;Senegal;21/11/2014;1
Deaths;Senegal;21/11/2014;0
Cases;Guinea;26/11/2014;2134
Deaths;Guinea;26/11/2014;1260
Cases;Liberia;26/11/2014;7168
Deaths;Liberia;26/11/2014;3016
Cases;Mali;26/11/2014;8
Deaths;Mali;26/11/2014;6
Cases;Nigeria;26/11/2014;20
Deaths;Nigeria;26/11/2014;8
Cases;Sierra Leone;26/11/2014;6599
Deaths;Sierra Leone;26/11/2014;1398
Cases;Spain;26/11/2014;1
Deaths;Spain;26/11/2014;0
Cases;United States of America;26/11/2014;4
Deaths;United States of America;26/11/2014;1
Cases;Senegal;26/11/2014;1
Deaths;Senegal;26/11/2014;0
Cases;Guinea;1/12/2014;2155
Deaths;Guinea;1/12/2014;1312
Cases;Liberia;1/12/2014;7635
Deaths;Liberia;1/12/2014;3145
Cases;Mali;1/12/2014;8
Deaths;Mali;1/12/2014;6
Cases;Nigeria;1/12/2014;20
Deaths;Nigeria;1/12/2014;8
Cases;Sierra Leone;1/12/2014;7109
Deaths;Sierra Leone;1/12/2014;1530
Cases;Spain;1/12/2014;1
Deaths;Spain;1/12/2014;0
Cases;United States of America;1/12/2014;4
Deaths;United States of America;1/12/2014;1
Cases;Senegal;1/12/2014;1
Deaths;Senegal;1/12/2014;0
Cases;Guinea;3/12/2014;2164
Deaths;Guinea;3/12/2014;1327
Cases;Liberia;3/12/2014;7635
Deaths;Liberia;3/12/2014;3145
Cases;Mali;3/12/2014;8
Deaths;Mali;3/12/2014;6
Cases;Nigeria;3/12/2014;20
Deaths;Nigeria;3/12/2014;8
Cases;Sierra Leone;3/12/2014;7312
Deaths;Sierra Leone;3/12/2014;1583
Cases;Spain;3/12/2014;1
Deaths;Spain;3/12/2014;0
Cases;United States of America;3/12/2014;4
Deaths;United States of America;3/12/2014;1
Cases;Senegal;3/12/2014;1
Deaths;Senegal;3/12/2014;0
Cases;Guinea;10/12/2014;2292
Deaths;Guinea;10/12/2014;1428
Cases;Liberia;10/12/2014;7719
Deaths;Liberia;10/12/2014;3177
Cases;Mali;10/12/2014;8
Deaths;Mali;10/12/2014;6
Cases;Nigeria;10/12/2014;20
Deaths;Nigeria;10/12/2014;8
Cases;Sierra Leone;10/12/2014;7897
Deaths;Sierra Leone;10/12/2014;1768
